Model,Accuracy,Precision,Recall,F1-Score
SVM,0.7232954545454545,0.5656984785615491,0.7027491408934707,0.6268199233716475
Naïve Bayes,0.7573863636363637,0.6090014064697609,0.7439862542955327,0.6697602474864656
CNN,0.6869318181818181,0.5181286549707602,0.761168384879725,0.616562282533055
LSTM,0.7113636363636363,0.5442583732057417,0.781786941580756,0.6417489421720733
BERT,0.8244318181818182,0.7486338797814208,0.7061855670103093,0.726790450928382
RoBERTa,0.8068181818181818,0.7410358565737052,0.6391752577319587,0.6863468634686347






